L,n,Trial,pd.merge,pd.DataFrame.merge,pd.DataFrame.__new__
10,10.0%,0,0.0018520333333333335,0.0016512666666666665,0.0010456
10,10.0%,1,0.0016867333333333335,0.0013265999999999996,0.0012287333333333335
10,10.0%,2,0.0016239,0.0012373333333333333,0.0010250666666666668
10,10.0%,3,0.0015752666666666627,0.0013794000000000005,0.0008922999999999986
10,10.0%,4,0.001961133333333332,0.0012884666666666683,0.0009108333333333329
10,10.0%,5,0.0018102666666666711,0.0013264666666666647,0.0009729666666666673
10,20.0%,0,0.0014589000000000036,0.0012365666666666654,0.0008938333333333345
10,20.0%,1,0.0015264333333333362,0.0013563000000000002,0.0011266666666666693
10,20.0%,2,0.0017299000000000064,0.0013469000000000027,0.0011182000000000043
10,20.0%,3,0.0016405333333333327,0.0016111999999999977,0.001013699999999997
10,20.0%,4,0.0015809666666666649,0.0011393000000000004,0.0011053333333333286
10,20.0%,5,0.0017992666666666695,0.0017881333333333305,0.001028366666666669
10,30.0%,0,0.0017022666666666648,0.0012907000000000057,0.000967900000000003
10,30.0%,1,0.0015172333333333305,0.0013823333333333372,0.0010180000000000005
10,30.0%,2,0.0016362666666666636,0.0017054000000000051,0.0010212999999999934
10,30.0%,3,0.0017259666666666524,0.0017556333333333396,0.001103200000000008
10,30.0%,4,0.0015621333333333265,0.0017384333333333262,0.0011939333333333413
10,30.0%,5,0.001671400000000008,0.001574999999999993,0.001595666666666662
10,40.0%,0,0.0017114666666666796,0.0012660333333333236,0.0012368666666666694
10,40.0%,1,0.0019256333333333246,0.0012188333333333357,0.0009115000000000095
10,40.0%,2,0.0016626333333333483,0.0016006333333333234,0.0009623333333333428
10,40.0%,3,0.001873399999999988,0.0013143999999999934,0.0011349999999999971
10,40.0%,4,0.0016842999999999904,0.0013133666666666672,0.001009766666666671
10,40.0%,5,0.0016636999999999902,0.0012843333333333318,0.0009139999999999889
10,50.0%,0,0.001501433333333339,0.0011270666666666762,0.001074633333333334
10,50.0%,1,0.0016322000000000096,0.001156866666666682,0.000889433333333319
10,50.0%,2,0.0014916000000000003,0.00143116666666665,0.0008652999999999947
10,50.0%,3,0.0025514,0.0016382999999999999,0.0008791333333333373
10,50.0%,4,0.0015595999999999943,0.001665100000000012,0.0010039666666666707
10,50.0%,5,0.0021877333333333304,0.002294366666666677,0.0010674666666666461
10,60.0%,0,0.0014866333333333204,0.0014147333333333068,0.0013546333333333365
10,60.0%,1,0.001620133333333366,0.0013592333333333577,0.0010789999999999782
10,60.0%,2,0.0018333333333333164,0.0012665000000000222,0.0010081000000000302
10,60.0%,3,0.0016695333333333062,0.0013295666666666521,0.0011483333333333439
10,60.0%,4,0.0017404999999999966,0.0012636999999999787,0.0010257000000000183
10,60.0%,5,0.0016793666666666818,0.001622199999999981,0.0009469000000000097
10,70.0%,0,0.0020087000000000113,0.0011512333333333347,0.0009462000000000081
10,70.0%,1,0.0016760000000000108,0.0014468000000000074,0.0011546333333333585
10,70.0%,2,0.0019643666666666615,0.0011964666666666919,0.0009633666666666318
10,70.0%,3,0.002282833333333345,0.0013664666666666954,0.0016187999999999942
10,70.0%,4,0.0016738333333333373,0.0015392999999999841,0.0011906000000000045
10,70.0%,5,0.001697233333333344,0.0016676999999999758,0.0010795333333333268
10,80.0%,0,0.0018266666666666802,0.0017184666666666775,0.0010280999999999763
10,80.0%,1,0.001662866666666633,0.001266866666666681,0.0012394666666666703
10,80.0%,2,0.0016630666666666756,0.0011923999999999824,0.0009457000000000123
10,80.0%,3,0.0016812999999999967,0.001166366666666659,0.0008880333333333157
10,80.0%,4,0.001462533333333349,0.0013358999999999825,0.0009628999999999888
10,80.0%,5,0.0016342333333333459,0.0012451666666666676,0.0009392666666666605
10,90.0%,0,0.0014741333333333495,0.0011392000000000069,0.0008750666666666648
10,90.0%,1,0.0016353000000000062,0.0011856666666666404,0.0008718999999999996
10,90.0%,2,0.0015909333333333404,0.001338699999999989,0.0009138000000000016
10,90.0%,3,0.001719499999999985,0.001171499999999992,0.0008846666666666447
10,90.0%,4,0.0014813333333333345,0.00315276666666664,0.0010102333333333509
10,90.0%,5,0.0030051666666666512,0.002375300000000006,0.0009930333333333374
100,10.0%,0,0.0022600666666666713,0.0013073999999999957,0.0009991333333333463
100,10.0%,1,0.0015403333333333287,0.0014671333333333332,0.0009120333333333397
100,10.0%,2,0.0018610333333333173,0.0012928666666666515,0.0010109666666666683
100,10.0%,3,0.001751166666666674,0.0013156999999999937,0.0011818000000000106
100,10.0%,4,0.0023544666666666845,0.001494866666666687,0.0013349333333333064
100,10.0%,5,0.001632266666666678,0.0013189333333333646,0.0011383000000000365
100,20.0%,0,0.0017480000000000089,0.0012662000000000322,0.0009220999999999998
100,20.0%,1,0.0016749666666666663,0.001174533333333357,0.0008646333333333089
100,20.0%,2,0.001474366666666634,0.00146106666666664,0.0009135999999999959
100,20.0%,3,0.0016198666666666917,0.0017195666666666536,0.0010054999999999925
100,20.0%,4,0.0015819333333333407,0.001579166666666687,0.0009190666666666717
100,20.0%,5,0.0017354333333333323,0.001259666666666659,0.0009612000000000324
100,30.0%,0,0.0021344666666667234,0.0015341666666666882,0.0009897000000000193
100,30.0%,1,0.0015832666666666384,0.0012799333333333163,0.001187499999999971
100,30.0%,2,0.0018702333333333598,0.0013533333333333175,0.0010791333333333153
100,30.0%,3,0.0016257000000000261,0.0011857666666666618,0.0010216999999999772
100,30.0%,4,0.002760166666666638,0.0021315666666666586,0.0009798000000000122
100,30.0%,5,0.001772766666666629,0.001500766666666727,0.001060766666666657
